Airport_name,Airport_Code,Latitude,Longitude,total_arriving_flights,Cancelled_flights,Cancelled_percentage
 Aberdeen Regional,ABR,45.45,-98.433333,711.0,23.0,3.23
 Abilene Regional,ABI,32.416667,-99.683333,1664.0,26.0,1.56
 Abraham Lincoln Capital,SPI,39.85,-89.683333,801.0,13.0,1.62
 Adak,ADK,51.878056,-176.646111,104.0,4.0,3.85
 Akron-Canton Regional,CAK,40.916111,-81.442222,384.0,7.0,1.82
 Albany International,ALB,42.733333,-73.8,7949.0,157.0,1.98
 Albert J Ellis,OAJ,34.716667,-77.416667,563.0,2.0,0.36
 Albuquerque International Sunport,ABQ,35.040278,-106.609167,20594.0,311.0,1.51
 Alexandria International,AEX,31.3275,-92.548611,1152.0,29.0,2.52
 Alpena County Regional,APN,45.083333,-83.55,630.0,20.0,3.17
 Appleton International,ATW,44.266667,-88.516667,2566.0,45.0,1.75
 Arnold Palmer Regional,LBE,40.283333,-79.4,717.0,20.0,2.79
 Asheville Regional,AVL,35.436111,-82.541667,3760.0,28.0,0.74
 Aspen Pitkin County Sardy Field,ASE,39.223056,-106.868889,6478.0,431.0,6.65
 Atlantic City International,ACY,39.466667,-74.583333,3233.0,94.0,2.91
 Augusta Regional at Bush Field,AGS,33.366667,-81.966667,1731.0,11.0,0.64
 Austin - Bergstrom International,AUS,30.194444,-97.67,88018.0,2011.0,2.28
 Baltimore/Washington International Thurgood Marshall,BWI,39.175278,-76.668333,87214.0,2397.0,2.75
 Bangor International,BGR,44.8,-68.816667,440.0,8.0,1.82
 Barkley Regional,PAH,37.060278,-88.773056,505.0,6.0,1.19
 Barnstable Municipal-Boardman/Polando Field,HYA,41.669444,-70.280278,118.0,3.0,2.54
 Baton Rouge Metropolitan/Ryan Field,BTR,30.533333,-91.15,2556.0,33.0,1.29
 Bellingham International,BLI,48.8,-122.533333,1194.0,19.0,1.59
 Bemidji Regional,BJI,47.516667,-94.933333,744.0,15.0,2.02
 Bert Mooney,BTM,45.954722,-112.4975,612.0,3.0,0.49
 Bethel Airport,BET,60.783333,-161.833333,712.0,14.0,1.97
 Bill and Hillary Clinton Nat Adams Field,LIT,34.729444,-92.224444,10208.0,162.0,1.59
 Billings Logan International,BIL,45.8,-108.533333,3245.0,29.0,0.89
 Birmingham-Shuttlesworth International,BHM,33.566667,-86.75,10043.0,182.0,1.81
 Bishop Airport,BIH,37.366667,-118.35,257.0,8.0,3.11
 Bishop International,FNT,42.965556,-83.743611,817.0,16.0,1.96
 Bismarck Municipal,BIS,46.783333,-100.75,3259.0,93.0,2.85
 Blue Grass,LEX,38.036389,-84.605833,3892.0,50.0,1.28
 Bob Hope,BUR,34.2,-118.35,30509.0,871.0,2.85
 Boise Air Terminal,BOI,43.564444,-116.222778,20901.0,236.0,1.13
 Bozeman Yellowstone International,BZN,45.7775,-111.153056,9281.0,139.0,1.5
 Bradley International,BDL,41.938889,-72.683333,19085.0,358.0,1.88
 Brainerd Lakes Regional,BRD,46.401667,-94.135556,748.0,18.0,2.41
 Brownsville South Padre Island International,BRO,25.916667,-97.416667,1244.0,23.0,1.85
 Buffalo Niagara International,BUF,42.940556,-78.732222,14528.0,567.0,3.9
 Burlington International,BTV,44.471944,-73.153333,3239.0,65.0,2.01
 California Redwood Coast Humboldt County,ACV,40.983333,-124.1,1797.0,68.0,3.78
 Canyonlands Field,CNY,38.766667,-109.75,323.0,1.0,0.31
 Canyonlands Regional,CNY,38.766667,-109.75,329.0,5.0,1.52
 Cape Cod Gateway,HYA,41.669444,-70.280278,6.0,0.0,0.0
 Cape Girardeau Regional,CGI,37.216667,-89.566667,317.0,2.0,0.63
 Capital Region International,LAN,42.783333,-84.583333,658.0,8.0,1.22
 Casper/Natrona County International,CPR,42.908056,-106.464444,1737.0,48.0,2.76
 Cedar City Regional,CDC,37.7,-113.1,620.0,4.0,0.65
 Central Il Regional Airport at Bloomington,BMI,40.477222,-88.915833,1454.0,14.0,0.96
 Central Nebraska Regional,GRI,40.9675,-98.309722,726.0,11.0,1.52
 Central Wisconsin,CWA,44.769444,-89.683056,690.0,9.0,1.3
 Central Wyoming Regional,RIW,43.064167,-108.459722,212.0,6.0,2.83
 Charles M. Schulz - Sonoma County,STS,38.516667,-122.8,3241.0,18.0,0.56
 Charleston AFB/International,CHS,32.898611,-80.040556,18228.0,441.0,2.42
 Charlotte Douglas International,CLT,35.216667,-80.933333,131749.0,2453.0,1.86
 Charlottesville Albemarle,CHO,38.133333,-78.45,213.0,1.0,0.47
 Cherry Capital,TVC,44.741389,-85.582222,2825.0,40.0,1.42
 Cheyenne Regional/Jerry Olson Field,CYS,41.15,-104.8,642.0,22.0,3.43
 Chicago Midway International,MDW,41.783333,-87.75,81756.0,2609.0,3.19
 Chicago O'Hare International,ORD,41.978611,-87.904722,244547.0,4973.0,2.03
 Chippewa County International,CIU,46.25,-84.466667,718.0,14.0,1.95
 Chippewa Valley Regional,EAU,44.865833,-91.484167,265.0,4.0,1.51
 Cincinnati/Northern Kentucky International,CVG,39.048889,-84.667778,20553.0,337.0,1.64
 City of Colorado Springs Municipal,COS,38.816667,-104.716667,11510.0,248.0,2.15
 Cleveland-Hopkins International,CLE,41.416667,-81.85,29279.0,587.0,2.0
 Columbia Metropolitan,CAE,33.95,-81.116667,2780.0,37.0,1.33
 Columbia Regional,COU,38.95,-92.333333,1629.0,25.0,1.53
 Corpus Christi International,CRP,27.770278,-97.501111,3103.0,54.0,1.74
 Dallas Love Field,DAL,32.852778,-96.85,68921.0,2303.0,3.34
 Dallas/Fort Worth International,DFW,32.896944,-97.038056,259860.0,6330.0,2.44
 Dane County Regional-Truax Field,MSN,43.139722,-89.3375,8453.0,107.0,1.27
 Daniel K Inouye International,HNL,21.333333,-157.933333,57721.0,526.0,0.91
 Daytona Beach International,DAB,29.183333,-81.05,2030.0,44.0,2.17
 Deadhorse Airport,SCC,70.333333,-148.333333,308.0,2.0,0.65
 Decatur Airport,DEC,39.833333,-88.866667,1112.0,28.0,2.52
 Del Rio International,DRT,29.366667,-100.916667,668.0,14.0,2.1
 Delta County,ESC,45.722778,-87.093611,709.0,15.0,2.12
 Denver International,DEN,39.861667,-104.673056,277130.0,5935.0,2.14
 Des Moines International,DSM,41.533889,-93.663056,8925.0,131.0,1.47
 Detroit Metro Wayne County,DTW,42.2125,-83.353333,101896.0,1668.0,1.64
 Devils Lake Regional,DVL,48.116667,-98.9,669.0,40.0,5.98
 Dickinson - Theodore Roosevelt Regional,DIK,46.8,-102.8,311.0,37.0,11.9
 Dillingham Airport,DLG,59.066667,-158.466667,110.0,0.0,0.0
