month,carrier_name,carrier_ttl_delay,weather_ttl_delay,National_aviation_ttl_delay,security_ttl_delay,late_aircraft_ttl_delay
1,Alaska Airlines Inc.,58276.0,7574.0,64573.0,749.0,79880.0
1,American Airlines Inc.,445582.0,56400.0,291922.0,3567.0,512505.0
1,Delta Air Lines Inc.,501463.0,85190.0,203900.0,688.0,312789.0
1,Envoy Air,52089.0,25059.0,80352.0,318.0,87216.0
1,Frontier Airlines Inc.,115285.0,11442.0,73861.0,0.0,146082.0
1,Hawaiian Airlines Inc.,44384.0,2578.0,2310.0,62.0,23636.0
1,JetBlue Airways,191090.0,3496.0,97010.0,2002.0,168151.0
1,SkyWest Airlines Inc.,432867.0,175490.0,45163.0,4324.0,211381.0
1,Southwest Airlines Co.,378124.0,25209.0,205861.0,1745.0,659779.0
1,Spirit Air Lines,137335.0,9439.0,168227.0,2985.0,115151.0
1,United Air Lines Inc.,281261.0,27462.0,223115.0,55.0,374992.0
2,Alaska Airlines Inc.,67846.0,10304.0,56511.0,764.0,77330.0
2,American Airlines Inc.,431323.0,41282.0,147569.0,3160.0,549093.0
2,Delta Air Lines Inc.,419185.0,48949.0,121124.0,651.0,220441.0
2,Envoy Air,48525.0,14822.0,34344.0,421.0,60523.0
2,Frontier Airlines Inc.,86102.0,4794.0,55421.0,0.0,109966.0
2,Hawaiian Airlines Inc.,39888.0,7322.0,1743.0,147.0,27212.0
2,JetBlue Airways,176489.0,14130.0,74089.0,487.0,168466.0
2,SkyWest Airlines Inc.,383358.0,124901.0,22118.0,2283.0,177194.0
2,Southwest Airlines Co.,229678.0,10307.0,135119.0,1503.0,330142.0
2,Spirit Air Lines,106720.0,8908.0,123261.0,2034.0,104239.0
2,United Air Lines Inc.,229673.0,22170.0,163558.0,48.0,261804.0
3,Alaska Airlines Inc.,60064.0,8835.0,59572.0,1638.0,86023.0
3,American Airlines Inc.,556169.0,60977.0,247090.0,2378.0,787665.0
3,Delta Air Lines Inc.,528411.0,56411.0,219779.0,619.0,355230.0
3,Envoy Air,61299.0,26411.0,58069.0,533.0,108023.0
3,Frontier Airlines Inc.,104013.0,10054.0,96263.0,0.0,146904.0
3,Hawaiian Airlines Inc.,53577.0,4811.0,6447.0,513.0,51059.0
3,JetBlue Airways,254891.0,6529.0,100047.0,1275.0,260066.0
3,SkyWest Airlines Inc.,417322.0,133065.0,59302.0,1979.0,181047.0
3,Southwest Airlines Co.,349990.0,19952.0,296926.0,4337.0,699913.0
3,Spirit Air Lines,158406.0,9172.0,230068.0,3498.0,155302.0
3,United Air Lines Inc.,264188.0,20698.0,223437.0,93.0,322303.0
4,Alaska Airlines Inc.,60748.0,7870.0,59288.0,967.0,69824.0
4,American Airlines Inc.,548035.0,72156.0,242656.0,2460.0,771189.0
4,Delta Air Lines Inc.,493293.0,34323.0,175884.0,916.0,273746.0
4,Envoy Air,48374.0,31658.0,54784.0,463.0,90604.0
4,Frontier Airlines Inc.,99685.0,10874.0,61240.0,0.0,159879.0
4,Hawaiian Airlines Inc.,51329.0,421.0,17138.0,208.0,59415.0
4,JetBlue Airways,241409.0,15210.0,122035.0,1343.0,241075.0
4,SkyWest Airlines Inc.,338904.0,106972.0,35801.0,706.0,100610.0
4,Southwest Airlines Co.,396064.0,34384.0,260410.0,4463.0,794636.0
4,Spirit Air Lines,158257.0,22223.0,251127.0,4825.0,172133.0
4,United Air Lines Inc.,342111.0,47566.0,216786.0,44.0,400105.0
5,Alaska Airlines Inc.,64575.0,3584.0,46822.0,810.0,51989.0
5,American Airlines Inc.,403334.0,68856.0,189886.0,1212.0,451018.0
5,Delta Air Lines Inc.,495171.0,33599.0,127169.0,379.0,219326.0
5,Envoy Air,62615.0,24701.0,48463.0,337.0,72560.0
5,Frontier Airlines Inc.,88278.0,6071.0,67742.0,0.0,126113.0
5,Hawaiian Airlines Inc.,17748.0,344.0,329.0,129.0,9639.0
5,JetBlue Airways,202766.0,19636.0,87770.0,968.0,160884.0
5,SkyWest Airlines Inc.,571256.0,90572.0,12778.0,1012.0,217128.0
5,Southwest Airlines Co.,389472.0,22658.0,165254.0,3221.0,509044.0
5,Spirit Air Lines,97393.0,18601.0,127705.0,2197.0,88975.0
5,United Air Lines Inc.,262443.0,41992.0,179973.0,0.0,345632.0
6,Alaska Airlines Inc.,65853.0,4979.0,55123.0,628.0,59783.0
6,American Airlines Inc.,651688.0,102471.0,235775.0,2363.0,717403.0
6,Delta Air Lines Inc.,548281.0,43541.0,169701.0,859.0,297122.0
6,Envoy Air,55299.0,26883.0,45254.0,197.0,70780.0
6,Frontier Airlines Inc.,77473.0,3689.0,66534.0,0.0,94637.0
6,Hawaiian Airlines Inc.,32875.0,175.0,1357.0,782.0,15306.0
6,JetBlue Airways,259686.0,25127.0,132908.0,803.0,206139.0
6,SkyWest Airlines Inc.,635050.0,72418.0,25991.0,2449.0,193705.0
6,Southwest Airlines Co.,522121.0,30713.0,194658.0,3214.0,743397.0
6,Spirit Air Lines,81490.0,16656.0,128616.0,1519.0,73765.0
6,United Air Lines Inc.,301238.0,50903.0,159743.0,10.0,365724.0
7,Alaska Airlines Inc.,63023.0,4814.0,45269.0,4289.0,60107.0
7,American Airlines Inc.,606730.0,89805.0,220919.0,2909.0,764782.0
7,Delta Air Lines Inc.,563978.0,42031.0,149946.0,851.0,311924.0
7,Envoy Air,56823.0,24000.0,52719.0,375.0,102877.0
7,Frontier Airlines Inc.,82912.0,11758.0,62983.0,0.0,97664.0
7,Hawaiian Airlines Inc.,34539.0,1709.0,374.0,623.0,16864.0
7,JetBlue Airways,243335.0,20883.0,94822.0,975.0,186747.0
7,SkyWest Airlines Inc.,503430.0,93606.0,56996.0,2817.0,174831.0
7,Southwest Airlines Co.,599033.0,49729.0,222895.0,7495.0,994190.0
7,Spirit Air Lines,69817.0,19233.0,119769.0,2340.0,68126.0
7,United Air Lines Inc.,305057.0,44328.0,155676.0,15.0,371849.0
8,Alaska Airlines Inc.,56214.0,7470.0,51926.0,2352.0,64624.0
8,American Airlines Inc.,534621.0,108880.0,235488.0,3314.0,585473.0
8,Delta Air Lines Inc.,464546.0,45348.0,169323.0,647.0,221244.0
8,Envoy Air,64939.0,44893.0,66407.0,463.0,98455.0
8,Frontier Airlines Inc.,97748.0,12530.0,60630.0,0.0,127373.0
8,Hawaiian Airlines Inc.,35092.0,19.0,1517.0,284.0,25080.0
8,JetBlue Airways,224680.0,28415.0,120462.0,1652.0,194851.0
8,SkyWest Airlines Inc.,482526.0,106447.0,39594.0,1436.0,171413.0
8,Southwest Airlines Co.,619011.0,57811.0,233722.0,10409.0,1030435.0
8,Spirit Air Lines,54834.0,18945.0,100960.0,3751.0,58758.0
8,United Air Lines Inc.,280909.0,63708.0,181771.0,559.0,327602.0
9,Alaska Airlines Inc.,53354.0,3566.0,42401.0,787.0,51681.0
9,American Airlines Inc.,426693.0,46163.0,141248.0,1484.0,438594.0
9,Delta Air Lines Inc.,268859.0,15414.0,78531.0,738.0,115674.0
9,Envoy Air,43029.0,14496.0,33781.0,135.0,62303.0
9,Frontier Airlines Inc.,89994.0,4128.0,46705.0,0.0,103405.0
9,Hawaiian Airlines Inc.,20832.0,190.0,299.0,106.0,12999.0
9,JetBlue Airways,181493.0,15611.0,93912.0,1043.0,135138.0
9,SkyWest Airlines Inc.,423717.0,56983.0,20720.0,917.0,116884.0
9,Southwest Airlines Co.,392929.0,30832.0,152670.0,2096.0,574552.0
9,Spirit Air Lines,55504.0,10698.0,100258.0,1230.0,68312.0
9,United Air Lines Inc.,130685.0,24169.0,94165.0,24.0,131205.0
10,Alaska Airlines Inc.,46864.0,3548.0,37127.0,883.0,41734.0
10,American Airlines Inc.,413362.0,37965.0,140577.0,2084.0,486899.0
10,Delta Air Lines Inc.,316587.0,10747.0,87234.0,885.0,122830.0
10,Envoy Air,40477.0,16747.0,31527.0,348.0,53968.0
10,Frontier Airlines Inc.,102391.0,1853.0,44437.0,0.0,130852.0
10,Hawaiian Airlines Inc.,54787.0,1746.0,5737.0,233.0,55621.0
10,JetBlue Airways,160164.0,7017.0,85171.0,489.0,108801.0
10,SkyWest Airlines Inc.,326504.0,75540.0,15429.0,1380.0,100622.0
10,Southwest Airlines Co.,341791.0,11031.0,129840.0,3456.0,436982.0
10,Spirit Air Lines,75716.0,7287.0,79570.0,1281.0,64977.0
10,United Air Lines Inc.,157220.0,5535.0,96263.0,32.0,147072.0
11,Alaska Airlines Inc.,57569.0,16815.0,62240.0,797.0,75890.0
11,American Airlines Inc.,448246.0,36787.0,162988.0,1994.0,535472.0
11,Delta Air Lines Inc.,342385.0,34796.0,129065.0,723.0,167459.0
11,Envoy Air,54487.0,21445.0,46905.0,288.0,77089.0
11,Frontier Airlines Inc.,107481.0,4679.0,55410.0,0.0,144851.0
11,Hawaiian Airlines Inc.,46245.0,879.0,4610.0,75.0,38070.0
11,JetBlue Airways,202200.0,5905.0,77963.0,848.0,181852.0
11,SkyWest Airlines Inc.,421159.0,118311.0,17267.0,1208.0,119316.0
11,Southwest Airlines Co.,319622.0,7843.0,129497.0,2479.0,401173.0
11,Spirit Air Lines,103791.0,4809.0,110343.0,1610.0,95542.0
11,United Air Lines Inc.,172659.0,18253.0,121632.0,230.0,211327.0
12,Alaska Airlines Inc.,118197.0,26997.0,99235.0,2343.0,161060.0
12,American Airlines Inc.,594206.0,84385.0,195220.0,2879.0,826539.0
12,Delta Air Lines Inc.,493525.0,86517.0,156869.0,765.0,271099.0
12,Envoy Air,71859.0,56689.0,63555.0,386.0,139577.0
12,Frontier Airlines Inc.,139436.0,15819.0,74517.0,0.0,183055.0
12,Hawaiian Airlines Inc.,67558.0,21144.0,5475.0,163.0,80434.0
12,JetBlue Airways,308694.0,7069.0,108913.0,1344.0,270069.0
12,SkyWest Airlines Inc.,506427.0,228176.0,30896.0,1406.0,225633.0
12,Southwest Airlines Co.,693474.0,27613.0,216511.0,4143.0,877828.0
12,Spirit Air Lines,156110.0,16009.0,133105.0,2514.0,132896.0
12,United Air Lines Inc.,435405.0,48328.0,190033.0,79.0,550833.0
